name,live,prerequisites,h_position,v_position,creation_date,seconds_per_fast_problem,pretty_display_name,short_display_name,topic,area
quadratic_function_word_problem,TRUE,quadratic_function_maximum_and_minimum,35,-4,2014-08-31 17:11:16.24076 UTC,28.5,二次函數的文字應用題,二次函數的文字應用題,algebra-functions,algebra
parallelogram_concept_and_application,TRUE,concepts_related_to_kite,37,-13,2014-08-31 17:24:48.51011 UTC,5,平行四邊形的性質與應用,平行四邊形的性質與應用,quadrilaterals-and-polygons,geometry
radical_multiplication_and_division,TRUE,adding_and_subtracting_radicals,25,6,2014-09-04 07:14:40.00448 UTC,15,根式的乘除運算,根式的乘除運算,exponents-radicals,algebra
arithmetic_sequences_3,TRUE,"counting_2,seq_understanding_sequence_2",30,3,2014-03-05 03:39:19.64809 UTC,26,等差數列3,等差數列3,sequence_and_series,arithmetic
vector_add_sub_two,TRUE,matrix_add_sub_3,52,17,2014-04-30 07:30:02.41412 UTC,14,兩個向量的加法,兩個向量的加法,vectors-matrix,algebra
concepts_related_to_diamond,TRUE,quadrilateral_angles,35,-13,2014-07-15 03:19:34.83962 UTC,14,與菱形相關的概念,與菱形相關的概念,quadrilaterals-and-polygons,geometry
fractions_cut_and_copy,FALSE,,2,-9,2015-03-02 22:05:13.21944 UTC,0,利用圖形判斷分數的增與減,利用圖形判斷分數的增減,N/A,N/A
cross_multiplication_advanced,TRUE,"solving_quadratics_by_factoring,factorization_quadratic_polynomial",52,-4,2014-06-26 02:53:28.78086 UTC,24,十字交乘法(進階),十字交乘法進階,systems-of-eq-and-ineq,algebra
radius_diameter_and_circumference_1,FALSE,"parts_of_circles,radius_and_diameter,radius_diameter_and_circumference_314_1",22,-18,2013-12-25 08:31:18.3468 UTC,5,半徑、直徑與圓周1,半徑、直徑與圓周1,basic-geometry,geometry
matrix_basic_percentage,TRUE,"identifying_points_2,graphing_points_fraction_1",48,16,2014-04-09 04:49:53.42989 UTC,11,定義矩陣：使用習慣比例,定義矩陣：使用習慣比例,vectors-matrix,algebra
time_terminology,TRUE,"subtraction_2,telling_time",4,9,2013-11-29 09:38:08.54572 UTC,5,時間用語,時間用語,telling-time,arithmetic
cone_surface_arc,TRUE,surface_area_of_cylinders,39,-22,2014-09-03 10:15:08.88832 UTC,8,圓柱與圓錐的表面積概念,圓柱與圓錐的表面積概念,area-perimeter-and-volume,geometry
multiplication_formula_minus,TRUE,multiplying_polynomials,47,-4,2014-08-31 07:12:32.46957 UTC,12,乘法公式-差平方公式,乘法公式-差平方公式,polynomials,algebra
environment_bctest_cap,TRUE,,-6,-9,2015-01-19 07:14:23.93006 UTC,5,環境基測題,環境基測題,biology,biology
areas_of_kites,TRUE,angles_2,36,-19,2013-12-24 07:26:28.90769 UTC,5,風箏形的面積,風箏形的面積,area-perimeter-and-volume,geometry
arithmetic_reasoning,TRUE,order_of_operations,16,-5,2014-06-09 09:41:29.78893 UTC,15,和差問題,和差問題,order-of-operations,arithmetic
adding_and_subtracting_centimeter_and_millimeter,TRUE,l_ml_time_div,19,9,2014-08-31 03:35:07.33811 UTC,10,公分與毫米的加減法應用,公分與毫米的加減法應用,decimals,arithmetic
rate_problems_0.5,TRUE,units,29,-11,2012-10-11 17:54:13.96483 UTC,7,速率問題 0.5,速率0.5,rates-and-ratios,arithmetic
evaluating_expressions_2,TRUE,evaluating_expressions_1,26,9,2012-10-11 17:54:55.99569 UTC,14,求代數的值2,算式計算2,solving-linear-equations-and-inequalities,algebra
graphing_inequalities,TRUE,graphing_linear_equations,43,8,2012-10-11 17:55:06.20361 UTC,22,畫不等式,畫不等式,linear-equations-and-inequalitie,algebra
radical_equations,TRUE,simplifying_radicals,24,7,2012-10-11 17:55:14.23025 UTC,9,根號等式,根號等式1,exponents-radicals,algebra
empirical_rule,TRUE,"exploring_standard_deviation_1,standard_deviation",21,-21,2012-10-11 17:55:56.13569 UTC,18,經驗法則,經驗法則,statistics,probability-statistics
multiplying_fractions_0.5,TRUE,simplifying_fractions,22,-12,2012-10-11 17:54:29.3789 UTC,9,分數乘法 0.5,乘分數0.5,fractions,arithmetic
exploring_angle_pairs_1,TRUE,"angle_types,measuring_angles",27,-20,2012-10-11 17:55:42.993 UTC,10,兩角關係名稱,兩角關係,segments-and-angles,analytic-geometry
adding_subtracting_mixed_numbers_0.5,TRUE,"adding_and_subtracting_fractions,converting_mixed_numbers_and_improper_fractions",24,-7,2012-10-11 17:54:34.70484 UTC,10,帶分數的加法與減法 0.5,加減帶分數0.5,fractions,arithmetic
equation_of_an_ellipse,TRUE,equation_of_a_circle_1,48,3,2012-10-11 17:55:23.94801 UTC,7,橢圓形的方程式,橢圓形的方程式,conic-sections,algebra
solid_geometry,TRUE,"areas_of_kites,areas_of_rhombi,areas_of_trapezoids,area_of_parallelograms,areas_of_circles_and_sectors,simple_hologram_concept,basic_graph_and_composite_graph_area",40,-19,2012-10-11 17:55:27.65443 UTC,10,實心物體幾何問題,實心物體,area-perimeter-and-volume,geometry
z_scores_1,TRUE,"exploring_standard_deviation_1,standard_deviation",21,-22,2012-10-11 17:55:56.33996 UTC,10,標準分數 1,標準分數1,statistics,probability-statistics
division_1.5,TRUE,division_1,8,-7,2012-10-11 17:54:20.26665 UTC,5,三位數的整除1,除法 1.5,multiplication-division,arithmetic
dividing_fractions,TRUE,"multiplying_fractions,dividing_fractions_0.5",24,-12,2012-10-11 17:54:32.53256 UTC,10,分數的除法,除分數,fractions,arithmetic
graphing_linear_equations,TRUE,equation_of_a_line,42,8,2012-10-11 17:55:06.8703 UTC,15,畫出線性方程式,畫線性方程式,linear-equations-and-inequalitie,algebra
prime_numbers,TRUE,"divisibility_0.5,divisibility_tests",12,-12,2012-10-11 17:54:27.25839 UTC,5,質數,質數,factors-multiples,arithmetic
converting_decimals_to_fractions_1,TRUE,"converting_fractions_to_decimals,adding_and_subtracting_fractions",24,-4,2012-10-11 17:54:31.5114 UTC,5,小數轉換成分數 1,小數轉分數1,fractions,arithmetic
solving_for_the_y-intercept,TRUE,interpreting_linear_equations,37,10,2012-10-11 17:54:47.6493 UTC,15,解 y-截點,y-截點,linear-equations-and-inequalitie,algebra
addition_4,TRUE,"addition_2,estimation_three-digit_add_sub",7,4,2012-10-11 17:54:18.11003 UTC,10,四位數的加法(有進位),四位數加法有進位,addition-subtraction,arithmetic
the_complex_plane,TRUE,imaginary_unit_powers,46,-12,2012-10-11 17:55:26.55204 UTC,5,虛數平面,虛數平面,complex-numbers,algebra
geometry_1,FALSE,,-13,-17,2012-10-11 17:55:27.31571 UTC,6,幾何 1,幾何 1,basic-geometry,geometry
divisibility_0.5,TRUE,divisibility_intuition,11,-12,2012-10-11 17:54:26.45981 UTC,6,整除性 0.5,整除性0.5,factors-multiples,arithmetic
linear_equations_4,TRUE,linear_equations_3,31,11,2012-10-11 17:54:53.23277 UTC,22,線性方程式 4,線性方程式4,solving-linear-equations-and-inequalities,algebra
least_common_multiple,TRUE,"prime_factorization,get_gcd_and_lcm",14,-11,2012-10-11 17:54:26.80692 UTC,8,最小公倍數,最小公倍數,factors-multiples,arithmetic
factoring_polynomials_with_two_variables,TRUE,factoring_polynomials_2,50,-6,2012-10-11 17:55:02.48612 UTC,14,因式分解二元多項式,分解二元多項式,polynomials,algebra
absolute_value,TRUE,adding_and_subtracting_negative_numbers,19,12,2012-10-11 17:55:11.94352 UTC,4,絕對值,絕對值,absolute-value,algebra
multiplying_complex_numbers,TRUE,"multiplying_expressions_1,adding_and_subtracting_complex_numbers",48,-12,2012-10-11 17:55:25.97669 UTC,9,虛數的乘法,虛數的乘法,complex-numbers,algebra
area_of_triangles_1,TRUE,area_of_squares_and_rectangles,21,-17,2012-10-11 17:55:34.08936 UTC,5,三角形的面積 1, 三角面積1,basic-geometry,geometry
geometry_proofs_intro,FALSE,"congruent_triangles_2,logical_arguments_deductive_reasoning,conditional_statements_and_truth_value",37,-26,2012-10-11 17:55:48.75057 UTC,44,介紹幾何證明,介紹幾何證明,congruent-triangles,geometry
converse_inverse_and_contrapositive,FALSE,narrative_and_opposite_narrative,31,-33,2012-10-11 17:55:49.33898 UTC,8,逆命題、轉命題、異質位換命題,逆轉異質位換命題,logical-reasoning,logics
the_fundamental_theorem_of_arithmetic,TRUE,prime_factorization,14,-13,2012-10-11 17:54:28.30306 UTC,6,質因數連乘積基本概念,質因數連乘積基本概念,factors-multiples,arithmetic
arithmetic_series,TRUE,midpoint_coordinates,32,2,2014-06-26 02:46:57.92168 UTC,38,等差級數應用題,等差級數應用題,sequence_and_series,arithmetic
perimeter_deduction,TRUE,"perimeter_1,perimeter_of_combined_shapes",19,-19,2013-11-15 10:10:22.65013 UTC,6,邊長的計算,邊長的計算,basic-geometry,geometry
time_units_transformation_1,TRUE,"division_3,time_word_problem_2,time_word_problem_5",11,10,2013-11-29 09:38:49.14196 UTC,9,時間單位的轉換 1,時間單位轉換1,telling-time,arithmetic
triangles_congruent_nature_sas,TRUE,congruent_triangles_2,37,-24,2014-07-24 02:14:59.10871 UTC,10,SAS全等性質,SAS全等性質,congruent-triangles,geometry
metric_weight_unit_conversion,TRUE,rounding_numbers,16,6,2013-12-24 07:38:34.5998 UTC,6,公製重量大單位換算,公製重量大單位換算,unit-conversion,arithmetic
integers_multiply_decimals,FALSE,adding_decimals,13,3,2014-04-07 09:38:36.71363 UTC,11,整數乘以小數,整數乘以小數,decimals,arithmetic
dividing_polynomials_2,TRUE,dividing_polynomials_1,49,-8,2014-05-07 05:59:39.9121 UTC,29,多項式除以多項式1,多項式除以多項式1,polynomials,algebra
interpreting_negative_numbers,TRUE,number_line_3,16,13,2015-01-19 10:21:58.33184 UTC,5,負數概念的文字題,負數概念的文字題,absolute-value,algebra
understand_equivalent_axiom,TRUE,evaluating_expressions_1,26,10,2014-08-31 06:55:05.25759 UTC,6,理解等量公理,理解等量公理,solving-linear-equations-and-inequalities,algebra
writing_expressions_w_two_var,TRUE,writing_expressions_2,28,7,2014-06-26 04:27:02.91188 UTC,8,二元一次式列式問題,二元一次式列式問題,solving-linear-equations-and-inequalities,algebra
comparing_decimals_1,TRUE,,9,5,2015-01-19 10:15:54.71371 UTC,4,小數大小的比較1,小數大小的比較1,decimals,arithmetic
kg_g_time_div,TRUE,kg_g_arithmatic,19,6,2014-06-27 07:17:02.51204 UTC,7,公斤與公克的乘除運算,公斤與公克的乘除運算,unit-conversion,arithmetic
absolute_values_meaning,TRUE,"adding_and_subtracting_negative_numbers,interpreting_absolute_value",22,15,2014-05-21 04:35:07.2359 UTC,6,絕對值的意義,絕對值的意義,absolute-value,algebra
altitude_and_hypotenuse,TRUE,,33,-20,2014-07-08 07:06:47.93339 UTC,16,直角三角形斜邊上的高,直角三角形斜邊上的高,triangle-properties,geometry
basic_compared_with_the_reference_quantity,TRUE,,27,-9,2014-12-29 15:47:51.15045 UTC,8,基準量與比較量(基礎),基準量與比較量(基礎),rates-and-ratios,arithmetic
areas_of_rhombi,TRUE,angles_2,36,-17,2013-12-24 07:27:30.98495 UTC,5,鳶形的面積,鳶形的面積,area-perimeter-and-volume,geometry
integers_multiply_decimals2,TRUE,integers_multiply_decimals,11,1,2014-04-07 09:39:36.85196 UTC,8,整數乘以小數2,整數乘以小數2,decimals,arithmetic
metric_weight_unit_word_problem,TRUE,metric_weight_unit_conversion,18,6,2013-12-24 07:40:02.95423 UTC,17,重量單位的加減換算,重量單位的加減換算,unit-conversion,arithmetic
l_ml_transform,TRUE,"understanding_decimals_place_value,millimeter_and_centimeter",16,8,2014-04-30 07:19:22.24156 UTC,6,公升和毫公升的換算,公升和毫公升的換算,unit-conversion,arithmetic
age_problems,TRUE,writing_expressions_1,27,9,2014-06-09 07:58:41.134 UTC,8,年齡問題 1,年齡問題 1,solving-linear-equations-and-inequalities,algebra
rate_unit_transform,TRUE,rate_problems_2,32,-11,2014-08-08 00:44:41.36383 UTC,20,速率的單位換算-計算題,速率的單位換算-計算題,rates-and-ratios,arithmetic
application_of_linear_equations_1,TRUE,linear_equations_3,33,8,2014-06-09 09:39:25.96911 UTC,45,一元一次方程式的應用問題1,一元一次應用問題1,solving-linear-equations-and-inequalities,algebra
midpoint_coordinates,TRUE,arithmetic_sequences_3,31,3,2014-06-26 03:55:34.39781 UTC,7,中點座標,中點座標,segments-and-angles,analytic-geometry
number_sense_length_l2,TRUE,number_sense_length_l1,7,15,2015-02-10 12:02:36.26428 UTC,4,長度的量感2,長度的量感2,quantity-sense,arithmetic
common_form_for_life,TRUE,sort-groups-by-count_1,13,-23,2014-09-04 12:13:09.88372 UTC,8,報讀生活中的常見表格,報讀生活中的常見表格,statistics,probability-statistics
understand_range_of_graphie,TRUE,,40,-16,2014-09-03 10:19:30.69436 UTC,8,認識平面圖形內外部與周長,認識平面圖形內外部周長,area-perimeter-and-volume,geometry
combinations_of_polynomials,TRUE,"adding_and_subtracting_polynomials,polynomial_concept_and_proper_noun",46,-6,2014-06-26 02:49:35.27315 UTC,11,多項式的併項與排列,多項式的併項與排列,polynomials,algebra
ordering_improper_fractions_and_mixed_numbers,TRUE,comparing_improper_fractions_and_mixed_numbers,26,-8,2012-10-11 17:54:29.73578 UTC,16,假分數和帶分數排序,排假貸分數,fractions,arithmetic
factoring_polynomials_2,TRUE,factoring_polynomials_1,49,-6,2012-10-11 17:55:02.96118 UTC,32,多項式因式分解 2,多項式因式分解2,polynomials,algebra
rate_problems_1,TRUE,rate_problems_0.5,30,-11,2012-10-11 17:54:13.77213 UTC,42,速率問題 1,速率1,rates-and-ratios,arithmetic
systems_of_equations_with_elimination_0.5,TRUE,graphing_systems_of_equations,47,10,2012-10-11 17:55:10.51009 UTC,24,加減消去法 0.5,加減消去法 0.5,systems-of-eq-and-ineq,algebra
similar_triangles_review,TRUE,solving_similar_triangles_1,40,-34,2012-10-11 17:55:45.21067 UTC,7,相似三角形複習,相似三角形複習,similar-triangle,geometry
arithmetic_word_problems_2,TRUE,"multiplication_2,division_1",8,-4,2012-10-11 17:54:21.36557 UTC,6,乘法除法應用題 2,乘法除法應用題2,multiplication-division,arithmetic
perimeter_of_squares_and_rectangles,TRUE,perimeter_1,19,-18,2012-10-11 17:55:30.186 UTC,6,正方形與長方形的周長,長方周長,basic-geometry,geometry
least_common_multiple_and_greatest_common_divisor_word_problems,TRUE,"prime_factorization,application_of_gcd_and_lcm_1",16,-13,2012-10-11 17:54:26.07906 UTC,13,最小公倍數與最大公因數的應用題,因數倍數應用,factors-multiples,arithmetic
adding_subtracting_mixed_numbers_1,TRUE,adding_subtracting_mixed_numbers_0.5,25,-7,2012-10-11 17:54:34.40893 UTC,27,帶分數的加法與減法 1,加減帶分數1,fractions,arithmetic
evaluating_expressions_1,TRUE,"multiplying_radicals,adding_and_subtracting_fractions,represent_by_symbol_dividend",25,9,2012-10-11 17:54:56.22249 UTC,5,求代數的值1,算式計算1,solving-linear-equations-and-inequalities,algebra
constant_function_and_a_fuction,TRUE,functions_1,35,-1,2014-08-31 17:12:22.42805 UTC,7,常數函數與一次函數,常數函數與一次函數,algebra-functions,algebra
seq-arithmetic-sequences-l2,TRUE,seq-arithmetic-sequences-l1,32,-1,2015-02-12 08:09:03.63465 UTC,23.75,等差數列的計算2,等差數列的計算2,sequence_and_series,arithmetic
multiplying_and_dividing_negative_numbers_new,TRUE,adding_and_subtracting_negative_numbers,20,10,2015-01-29 09:43:56.98045 UTC,4,含有負數的乘除法基礎運算,含負數的乘除法基礎運算,absolute-value,algebra
meaning_congruent_planar_graph,TRUE,,34,-29,2014-09-04 07:24:05.22491 UTC,8,平面圖形全等的意義,平面圖形全等的意義,congruent-triangles,geometry
hundred_million_adding_and_subtracting,TRUE,"place_value,subtracting_decimals,application_add_large_nums,understand_large_numbers_and_conversion",14,5,2014-02-21 08:36:28.55321 UTC,22,大數字的加減,大數字的加減,decimals,arithmetic
cube_volume_calculation,FALSE,,0,-12,2015-02-17 00:46:10.22895 UTC,0,正方體體積的計算,正方體體積的計算,N/A,N/A
area_relationship_larger_narrow_num,TRUE,area_relationship_larger_narrow_graph,38,-31,2014-08-31 04:41:10.8006 UTC,19,放大圖與縮小圖的面積關係2,放大圖縮小圖面積關係2,similar-triangle,geometry
count_number_to_20_2,TRUE,count_number_to_20,-2,4,2014-12-28 16:27:50.54805 UTC,5,數一數-20以內的數2,數一數-20以內的數2,addition-subtraction,arithmetic
ecology_bctest_cap,TRUE,,-7,-9,2015-01-19 07:13:23.12395 UTC,6,生態基測題,生態基測題,biology,biology
recognize_num_less_than_10000,TRUE,addition_4,8,4,2014-09-03 09:39:53.10995 UTC,10,認識10000以內的數,認識10000以內的數,addition-subtraction,arithmetic
metric_area_unit_conversion,TRUE,rounding_numbers,16,7,2013-12-24 07:37:40.19741 UTC,9,公制面積大單位換算,公制面積大單位換算,unit-conversion,arithmetic
quadratic_function_concept,TRUE,functions_1,33,-2,2014-08-31 17:08:20.57906 UTC,16,二次函數的意義,二次函數的意義,algebra-functions,algebra
dividing_fractions_0.5,TRUE,multiplying_fractions_0.5,23,-12,2012-10-11 17:54:32.97045 UTC,10,分數的除法 0.5,除分數0.5,fractions,arithmetic
equation_of_a_line,TRUE,"converting_between_slope_intercept_and_standard_form,converting_between_point_slope_and_slope_intercept",41,7,2012-10-11 17:54:47.90809 UTC,15.75,線的方程式,線的方程式,linear-equations-and-inequalitie,algebra
factoring_difference_of_squares_2,TRUE,factoring_difference_of_squares_1,49,-7,2012-10-11 17:54:57.39932 UTC,12,因式分解平方差 2,平方差2,polynomials,algebra
trig_identities_1,TRUE,trigonometry_2,52,-27,2012-10-11 17:55:50.79881 UTC,8,三角函數特性 1,三角函數特性1,trigonometry,analytic-geometry
greatest_common_divisor,TRUE,"division_3,prime_factorization,get_gcd_and_lcm",14,-10,2012-10-11 17:54:25.79174 UTC,5,最大公因數,最大公因數,factors-multiples,arithmetic
